song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Minor Moon,Creedence Clearwater Revival,1969,Group,male,00:02:22,english,Bastien,off,20221101,2.095,
Misirlou,Dick Dale,1959,Person,male,00:02:15,,Mischa,off,,,
Mistletoe and Wine,Cliff Richard,1988,Person,male,00:04:00,english,Mischa,new,20211207,,xmas
Moi... Lolita,Alizée,2000,Person,female,00:04:16,french,Bastien,new,20230718,2.8,
Monster Mash,Bobby (Boris) Pickett and the Crypt-Kickers,1962,Group,male,00:03:06,english,Bastien,off,20221101,1.582,"halloween,halloween2024"
Moves Like Jagger,Maroon 5 (feat. Christina Aguilera),2011,Group,male,00:03:22,english,Mischa,new,,,
Mr. Jones,Counting Crows,1991,Group,male,00:04:28,english,Mischa,old,,,
Murder On The Dancefloor,Sophie Ellis-Bextor,2002,Person,female,00:03:41,english,Mischa,new,20241029,3.543,"halloween,halloween2024"
Nightcall,Kavinsky,2010,Person,male,00:03:52,english,Mischa,new,20241015,2.206,"halloween,halloween2024"
Not Fair,Lily Allen,2009,Person,female,00:03:22,english,Annalisa,new,20230307,2.215,"regular,womens"
Nothing Compares 2 U,Sinéad O'Connor,1990,Person,female,00:04:42,english,Mischa,new,20230314,2.568,"regular,valentines,paddys,womens"
Numb,Linkin Park,2002,Group,male,00:03:06,english,Mischa,new,,,
O Canada,Calixa Lavallée,2013,Person,ensemble,00:01:26,"english,french",Kirsten,new,20240702,2.614,canada
One Way or Another,Blondie,1979,Group,female,00:03:20,english,Mischa,new,20231031,4.531,"regular,halloween,valentines,womens,pride,halloween2024"
"Paint it, Black",The Rolling Stones,1966,Group,male,00:03:22,english,Mischa,old,20211109,2.244,"regular,halloween,halloween2024"
Pencil Full of Lead,Paolo Nutini,2009,Person,male,00:02:26,english,Mischa,new,,,
Pineapple Mango,Daniel Ho,2013,Person,male,00:02:46,"hawaiian,english",Mischa,new,20240827,1.049,
Price Tag,Jessie J (feat. B.o.B),2011,Person,female,00:03:40,english,Mischa,old,20220517,1.924,"regular,womens"
Proud Mary,Tina Turner,1993,Person,female,00:05:22,english,Mischa,new,20230530,1.923,"regular,womens,pride"
Psycho Killer,Talking Heads,1977,Group,male,00:04:14,"english,french",Bastien,old,20210907,1.808,"regular,halloween,halloween2024"
Radio Gaga,Queen,1984,Group,male,00:05:48,english,Mischa,new,20230620,3.553,pride
Re: Your Brains,Jonathan Coulton,2006,Person,male,00:04:26,english,Bastien,off,20221101,4.641,
Red Wine Supernova,Chappell Roan,2023,Person,female,00:03:12,english,Annalisa,new,20240625,1.458,"regular,pride"
Rehab,Amy Winehouse,2006,Person,female,00:03:32,english,Mischa,new,,2.463,
Respect,Aretha Franklin,1967,Person,female,00:02:22,english,Mischa,new,20240312,2.537,"regular,womens,pride"
Ripples in the Rockpool,Rita Connolly,1995,Person,female,00:03:24,english,Mischa,new,,,
Riptide,Vance Joy,2013,Person,male,00:03:18,english,Mischa,off,,,
Roar,Katy Perry,2013,Person,female,00:03:40,english,Mischa,new,20230620,2.193,pride
Santa Baby,"Ariana Grande, Liz Gillies",2013,Person,female,00:02:48,english,Mischa,new,20221206,1.664,xmas
Sarà Perché Ti Amo,Ricchi E Poveri,1981,Group,duet,00:02:57,italian,Bastien,new,20240521,3.144,regular
Self Control,Laura Branigan,1984,Person,female,00:03:50,english,Mischa,new,20231024,2.739,"valentines,womens"
Set Fire to the Rain,Adele,2011,Person,female,00:03:54,english,Mischa,new,20221129,2.383,"regular,womens"
Shake It Off,Taylor Swift,2014,Person,female,00:03:34,english,Jeremie,new,20240702,0.74,usa
Shake It Out,Florence + The Machine,2011,Person,female,00:04:22,english,Mischa,new,,,
She Wolf,Shakira,2009,Person,female,00:03:06,english,Mischa,new,20221101,2.039,"halloween,halloween2024"
Should I Stay or Should I Go,The Clash,1982,Group,male,00:03:06,"english,spanish",Mischa,old,20210907,1.541,regular
Silent Night,Taylor Swift,2007,Person,female,00:03:04,english,Mischa,new,20211207,1.97,xmas
Since U Been Gone,Kelly Clarkson,2004,Person,female,00:03:06,english,Jeremie,new,20230307,2.476,"regular,womens"
Sit Down,James,1990,Group,male,00:03:52,english,Mischa,new,,,
So What,P!nk,2008,Person,female,00:03:35,english,Annalisa,new,20240625,2.296,"regular,pride"
Somebody that I used to know,Gotye (feat. Kimbra),2011,Person,female,00:04:02,english,Annalisa,new,,,
Somebody to Love,Queen,1976,Group,male,00:05:00,english,Mischa,new,20230516,,
Somebody's Watching Me,Rockwell,1984,Person,male,00:03:40,english,Mischa,new,20231031,3.222,halloween
Song For Jedi,Dionysos,2002,Group,male,00:02:56,"french,english",Bastien,new,20220712,3.113,
Space Oddity,David Bowie,1969,Person,male,00:04:50,english,Jeremie,off,20220405,3.848,"regular,pride"
Spice Up Your Life,Spice Girls,1997,Group,female,00:02:46,english,Mischa,new,20220621,1.035,"regular,womens"
Stay Stay Stay,Taylor Swift,2012,Person,female,00:03:22,english,Jeremie,new,20230307,1.49,valentines
Step Into Christmas,Elton John,1973,Person,male,00:04:30,english,Mischa,new,20221206,,xmas
Stuck in the Middle with You,Stealers Wheel,1972,Group,male,00:03:20,english,Mischa,old,20220510,1.26,regular
"Sugar, We're Goin Down",Fall Out Boy,2005,Group,male,00:03:34,english,Bastien,new,20240702,2.237,usa
Summer of '69,Bryan Adams,1985,Person,male,00:03:20,english,Mischa,old,20220621,2.126,"regular,valentines"
Sweet Dreams (Are Made of This),Eurythmics,1983,Group,female,00:03:16,english,Mischa,new,20221101,2.583,"regular,womens,pride,halloween2024"
Sympathy for the Devil,The Rolling Stones,1968,Group,male,00:05:20,english,Mischa,old,20211102,2.523,"valentines,halloween,halloween2024"
Take A Chance On Me,ABBA,1977,Group,female,00:04:03,english,Annalisa,new,20220531,3.977,"regular,valentines,womens,pride"
Take on Me,a-ha,1984,Group,male,00:03:30,english,Annalisa,old,20211019,3.399,"regular,valentines,pride"
Talkin' Bout a Revolution,Tracy Chapman,1988,Person,female,00:02:33,english,Mischa,new,,,
Tequila,The Champs,1958,Group,ensemble,00:02:10,spanish,Mischa,new,,2.989,
Thank God It's Christmas,Queen,1984,Group,male,00:04:12,english,Mischa,new,20221206,,xmas
That's Not My Name (Radio Edit),The Ting Tings,2008,Group,female,00:03:32,english,Mischa,new,,,
The Best (Edit),Tina Turner,1989,Person,female,00:04:00,english,Mischa,new,20220913,2.442,"regular,valentines,womens,pride"
The Final Countdown,Europe,1986,Group,male,00:04:52,english,Mischa,old,20220301,5.078,regular
The Ketchup Song (Aserejé),Las Ketchup,2002,Group,female,00:03:08,english,Mischa,new,,3.642,
The Lion Sleeps Tonight,The Tokens,1961,Group,male,00:02:38,english,Mischa,old,20210914,1.494,regular
The Season's Upon Us,Dropkick Murphys,2013,Group,male,00:03:52,english,Mischa,new,20221206,,xmas
Thriller,Michael Jackson,1982,Person,male,00:05:10,english,Mischa,new,20221101,4.885,halloween
Thunderstruck,AC/DC,1990,Group,male,00:04:52,english,Mischa,new,,3.486,halloween
Time Warp,The Rocky Horror Picture Show,1973,Group,duet,00:03:28,english,Bastien,off,20221101,2.593,"halloween,pride,halloween2024"
To The Moon,Ukulele Tuesday,2024,Group,female,00:02:50,english,Bea,new,,,
Torn,Natalie Imbruglia,1997,Person,female,00:04:08,english,Mischa,new,20220510,2.621,"regular,womens"
Toxic,Britney Spears,2004,Person,female,00:03:18,english,Mischa,old,20211123,3.073,"regular,valentines,womens,pride,halloween,halloween2024"
Tragedy,Bee Gees,1979,Group,male,00:04:44,english,Mischa,new,20220426,3.202,"valentines,pride"
